127.0.0.1 - - [24/Apr/2017:11:40:13 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/index.html HTTP/1.1" 200 4258
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/css/typography.css HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/lib/jquery-1.8.0.min.js HTTP/1.1" 200 92555
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/css/reset.css HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/lib/jquery.wiggle.min.js HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/css/screen.css HTTP/1.1" 200 48960
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/lib/jquery.ba-bbq.min.js HTTP/1.1" 200 4119
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/lib/jquery.slideto.min.js HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/swagger-ui.js HTTP/1.1" 200 1790598
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/lib/handlebars-2.0.0.js HTTP/1.1" 200 48517
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/lib/lodash.min.js HTTP/1.1" 200 52646
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/lib/highlight.9.1.0.pack_extended.js HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/lib/highlight.9.1.0.pack.js HTTP/1.1" 200 11037
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/lib/js-yaml.min.js HTTP/1.1" 200 43621
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/lib/backbone-min.js HTTP/1.1" 200 20390
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/lib/jsoneditor.min.js HTTP/1.1" 200 130042
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/lib/swagger-oauth.js HTTP/1.1" 200 11223
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/lib/marked.js HTTP/1.1" 200 28156
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/images/logo_small.png HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/css/print.css HTTP/1.1" 200 46455
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/fonts/DroidSans-Bold.ttf HTTP/1.1" 200 42480
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/fonts/DroidSans.ttf HTTP/1.1" 200 41028
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:29 -0700] "GET /validation-service/api-docs/images/favicon-16x16.png HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:30 -0700] "GET /validation-service/1.0/swagger.json HTTP/1.1" 200 7344
