127.0.0.1 - - [08/May/2017:11:23:07 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:19 -0700] "GET /validation-service HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:19 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:28 -0700] "GET /work-order-service/api-docs/index.html HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/index.html HTTP/1.1" 200 4983
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/css/typography.css HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/css/reset.css HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/lib/jquery.ba-bbq.min.js HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/lib/jquery.wiggle.min.js HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/lib/jquery.slideto.min.js HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/lib/jquery-1.8.0.min.js HTTP/1.1" 200 92556
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/css/screen.css HTTP/1.1" 200 46077
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/lib/lodash.min.js HTTP/1.1" 200 52747
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/swagger-ui.js HTTP/1.1" 200 2295794
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/lib/backbone-min.js HTTP/1.1" 200 20404
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/lib/handlebars-2.0.0.js HTTP/1.1" 200 48544
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/lib/js-yaml.min.js HTTP/1.1" 200 43624
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/lib/jsoneditor.min.js HTTP/1.1" 200 130052
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/lib/highlight.7.3.pack.js HTTP/1.1" 200 7499
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/lib/marked.js HTTP/1.1" 200 29427
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/lib/swagger-oauth.js HTTP/1.1" 200 11523
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/css/print.css HTTP/1.1" 200 43778
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/images/logo_small.png HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/fonts/DroidSans-Bold.ttf HTTP/1.1" 200 42480
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/fonts/DroidSans.ttf HTTP/1.1" 200 41028
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/images/favicon-16x16.png HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:48 -0700] "GET /execution-service/api-docs/images/favicon-32x32.png HTTP/1.1" 200 1654
0:0:0:0:0:0:0:1 - - [08/May/2017:11:23:49 -0700] "GET /execution-service/1.0/swagger.json HTTP/1.1" 200 76050
